Variable	Value
x1	0
x2	0
x3	0.0645663
x4	0.1442062
x5	0.0217339
x6	0
x7	0.0961124
x8	0.1152194
x9	0.0942303
x10	0.0484787
x11	0.0580634
x12	0.044477
x13	0.0370499
x14	0.076645
x15	0
x16	0.0265775
x17	0.051684
x18	0
x19	0.0647678
x20	0
x21	0
x22	0.0551852
x23	0.0646049
x24	0
x25	0.1183211
x26	0.0245618
x27	0.0084838
x28	0.0853297
x29	0.0847313
x30	0.0016834
x31	0.0058479
x32	0.0080475
x33	0.0643546
x34	0
x35	0.0953686
x36	0.115506
x37	0.0157969
x38	0.0257824
x39	0
x40	0.0708368
x41	0.0669967
x42	0.0412047
x43	0.0421409
x44	0.0999908
x45	0
x46	0.0288677
x47	0
x48	0
x49	0.0616387
x50	0.1162871
x51	0.0464486
x52	0
x53	0.1046267
x54	0.1375507
x55	0.0327397
x56	0.0269547
x57	0
x58	0.0455212
x59	0.0101069
x60	0.0336109
x61	0.0482388
x62	0
x63	0
x64	0
x65	0.0070977
x66	0
x67	0.0138315
x68	0
x69	0.0043056
x70	0.0398983
x71	0.0735233
x72	0
x73	0.0919886
x74	0.1133109
x75	0.0790416
x76	0
x77	0.1276273
x78	0.0660927
x79	0.010708
x80	0
x81	0
x82	0.0066505
x83	0.02139
x84	0.039392
x85	0.0390557
x86	0.041171
x87	0.0180569
x88	0
x89	0.0164603
x90	0.0816971
x91	0
x92	0
x93	0.0538743
x94	0
x95	0.0701734
x96	0.0104803
x97	0
x98	0
x99	0
x100	0.062014
x101	0.0872405
x102	0.0229729
x103	0.0141571
x104	0.1167288
x105	0
x106	0.0104037
x107	0.0519257
x108	0.0732467
x109	0.0501249
x110	0.167051
x111	0.0298686
x112	0
x113	0.0045393
x114	0
x115	0
x116	0.0154357
x117	0.0389298
x118	0.0778079
x119	0.0315911
x120	0.0654068
x121	0
x122	0.0679296
x123	0
x124	0.0908277
x125	0.0788685
x126	0.0300376
x127	0
x128	0.0573517
x129	0.0986238
x130	0
x131	0.0912554
x132	0.0141538
x133	0.038816
x134	0.0683128
x135	0.0951288
x136	0.1065785
x137	0
x138	0
x139	0
x140	0.065662
x141	0
x142	0
x143	0
x144	0
x145	0.0294313
x146	0.0002279
x147	0.1616875
x148	0
x149	0.0525559
x150	0.0335808
x151	0.0707023
x152	0.0882021
x153	0.0940535
x154	0.0686122
x155	0
x156	0.0634835
x157	0.031723
x158	0.0236743
x159	0.0316956
x160	0.0601833
x161	0.015652
x162	0.0799832
x163	0.0616922
x164	0.0350339
x165	0.0649971
x166	0
x167	0
x168	0
x169	0.0311812
x170	0.0524791
x171	0
x172	0.0041254
x173	0.0888276
x174	0.0615989
x175	0.0434016
x176	0
x177	0.0670457
x178	0.0089199
x179	0
x180	0
x181	0.0428686
x182	0.04813
x183	0.116766
x184	0.0690935
x185	0.0330256
x186	0
x187	0.0526757
x188	0.1165411
x189	0
x190	0.0121668
x191	0
x192	0.0296331
x193	0.1280433
x194	0.0158291
x195	0.1302013
x196	0.0094713
x197	0.014594
x198	0
x199	0
x200	0.1156493
x201	0
x202	0.0272328
x203	0.0605765
x204	0
x205	0
x206	0
x207	0.1185456
x208	0
x209	0.0651008
x210	0.1527041
x211	0.0529279
x212	0
x213	0.0084728
x214	0.056172
x215	0.1130294
x216	0
x217	0.0836575
x218	0.0894568
x219	0.0784806
x220	0.0337286
x221	0.0160995
x222	0
x223	0.0168876
x224	0
x225	0.0425985
x226	0
x227	0
x228	0.0864655
x229	0
x230	0
x231	0.0678504
x232	0.0666425
x233	0
x234	0
x235	0.1147265
x236	0.2001646
x237	0
x238	0.0209296
x239	0.085547
x240	0
x241	0.0089583
x242	0
x243	0
x244	0
x245	0.1354596
x246	0.0270543
x247	0.1004374
x248	0.0563606
x249	0.0401656
x250	0
x251	0
x252	0
x253	0.0429414
x254	0
x255	0
x256	0.0052706
x257	0
x258	0.0457903
x259	0.1127754
x260	0.0789564
x261	0.0570239
x262	0
x263	0.0340694
x264	0.0738866
x265	0.0508818
x266	0.0290611
x267	0.0442778
x268	0
x269	0.0907338
x270	0.0746533
x271	0
x272	0.0405201
x273	0.0240105
x274	0
x275	0.0529007
x276	0.0521497
x277	0
x278	0.0216453
x279	0.0664654
x280	0.0483323
x281	0.0196543
x282	0.0344753
x283	0.0179073
x284	0
x285	0.0147696
x286	0.0298665
x287	0.0321617
x288	0.0904766
x289	0
x290	0.0614752
x291	0.0051359
x292	0
x293	0.0668367
x294	0
x295	0.0540841
x296	0
x297	0.0471127
x298	0.0505909
x299	0.0345319
x300	0.066142
x301	0
x302	0
x303	0.0693179
x304	0.006785
x305	0
x306	0.0693278
x307	0.0926401
x308	0
x309	0.1375522
x310	0.0467243
x311	0
x312	0
x313	0.1256665
x314	0.0912342
x315	0
x316	0.0464757
x317	0.0893802
x318	0
x319	0.1012835
x320	0
x321	0.0716142
x322	0
x323	0
x324	0.1177676
x325	0.0167121
x326	0.0022824
x327	0.1075023
x328	0
x329	0.0592095
x330	0.0481272
x331	0.0200872
x332	0
x333	0.0685608
x334	0.0735918
x335	0.0239886
x336	0
x337	0.0192403
x338	0
x339	0.0924805
x340	0
x341	0
x342	0.028004
x343	0
x344	0.1146987
x345	0.0134473
x346	0
x347	0
x348	0.0180369
x349	0.0422783
x350	0
x351	0
x352	0
x353	0.0612055
x354	0
x355	0.0067731
x356	0.0945099
x357	0.0660279
x358	0
x359	0.0103872
x360	0
x361	0.0190602
x362	0.0180918
x363	0
x364	0.0505446
x365	0
x366	0
x367	0.106025
x368	0.0390414
x369	0.0821169
x370	0
x371	0.0143888
x372	0.065809
x373	0
x374	0.0426253
x375	0
x376	0
x377	0.1057543
x378	0.0791592
x379	0
x380	0
x381	0
x382	0.03759
x383	0.0279277
x384	0
x385	0.0201152
x386	0.0245666
x387	0
x388	0.0040727
x389	0.0475166
x390	0
x391	0.0199666
x392	0.0429671
x393	0.0372728
x394	0.07092
x395	0.07003
x396	0.1452629
x397	0
x398	0.0211098
x399	0.0224764
x400	0.0838186
x401	0.1076349
x402	0
x403	0.1211973
x404	0
x405	0
x406	0.0662024
x407	0.0696017
x408	0.0570233
x409	0.1318848
x410	0.0297761
x411	0
x412	0.1236042
x413	0.0197742
x414	0.0801118
x415	0
x416	0.1067119
x417	0
x418	0.0374408
x419	0
x420	0.0638227
x421	0.0354206
x422	0
x423	0
x424	0.078652
x425	0.0115117
x426	0.0843896
x427	0.0089056
x428	0.1223116
x429	0
x430	0
x431	0.0413471
x432	0.0492276
x433	0
x434	0
x435	0.0529419
x436	0
x437	0.003518
x438	0.0318955
x439	0
x440	0.0694488
x441	0
x442	0.0112854
x443	0.1800789
x444	0.112097
x445	0.091005
x446	0
x447	0.0022373
x448	0.0337762
x449	0
x450	0
x451	0
x452	0
x453	0
x454	0.0096571
x455	0.0447354
x456	0
x457	0
x458	0.009551
x459	0
x460	0
x461	0.0357407
x462	0.0807935
x463	0.0413001
x464	0.1279328
x465	0
x466	0.0048377
x467	0
x468	0.0984771
x469	0
x470	0.0367864
x471	0.0597221
x472	0.0251424
x473	0.0138589
x474	0.0516477
x475	0.0586244
x476	0
x477	0
x478	0.0927069
x479	0.1088446
x480	0.0276776
x481	0
x482	0.0271204
x483	0.1264305
x484	0.0118403
x485	0
x486	0
x487	0
x488	0
x489	0.061973
x490	0.1171535
x491	0.0074515
x492	0.0007724
x493	0.0841509
x494	0.0248314
x495	0.1076659
x496	0
x497	0.044128
x498	0
x499	0
x500	0.0517791
